C,Q,B,M,G,H,S,F,P,L
2.7258351182886362,4.294394812318159,4.108619186314039,9.745887485927353,3.760310643308017,3.433827321063244,3.0388155268333366,3.5113981071986533,7.535181250787084,0.6070224039717548
2.256984126984127,3.762642857142857,5.015611111111112,11.347880952380951,2.906579365079365,5.203007936507936,4.239230158730159,4.837246031746033,6.872007936507937,2.2423730158730155
2.512453101260191,3.9232438422582594,4.003066370120507,8.635369737635166,3.282131733736936,3.1520720287334147,2.8079977316531726,3.1623484997365234,7.972083948863367,0.4983373425900104
2.9071201126446504,4.591179958338691,3.3065519289420426,11.49935060982566,3.8917437342374064,5.494812877199552,3.8711985566471805,2.108691869931271,7.2819201875814334,1.38018361906299
2.45886153195187,4.37040383540749,4.484341967416778,9.96922553051981,4.219783594491707,3.5102242659808303,3.4603631533908485,3.887349951552591,7.307611661212983,1.4867142018390902
2.8503686039844336,3.851727629212638,2.856783820175051,9.452015987780205,2.3996222628665875,4.70645533144761,3.0580971190987953,1.7511042844608342,6.752892500309949,0.5496666278439186
3.6891109609344905,3.9916814704902936,2.2961887426299192,9.045628601790368,4.22470013972955,5.101943409531644,3.915806394585807,1.7803949857332209,6.359403256873846,1.1632281248163596
3.1324812306122523,4.243680911825262,3.1288845728054127,9.446361004051523,2.822850105608585,5.090403012714645,3.1555664571566173,1.7523281351778632,7.165135915485463,0.6325676793821838
2.8695372966338955,3.51424120472368,3.9528691160048823,11.408214770293762,3.660128652772508,5.579329388258233,3.353079614265009,1.9330592951575218,7.166926551129685,1.2593909826848373
3.094541007613861,4.065172739792426,3.166433098370249,10.181688147477727,3.150571113939134,4.812290973199867,3.205355044438031,2.032597327956258,7.764701583796657,0.8234453236311038
2.0807046605876387,4.043593718338401,4.217788753799391,7.5804599797365775,4.4249908814589665,3.0309974670719355,4.442550658561297,4.443378419452887,4.234384498480242,2.6363915906788242
6.9357023809523835,8.133380952380953,10.312607142857146,23.28254761904762,9.486690476190475,5.0845714285714285,5.675178571428571,6.647678571428572,3.364738095238096,4.658261904761905
1.8329722222222224,4.66252380952381,4.860432539682538,10.393825396825399,4.496753968253968,7.936273809523809,4.165797619047618,2.443404761904762,7.207579365079366,1.7043015873015874
4.075531746031748,4.455555555555556,5.656357142857143,20.806571428571427,6.817873015873016,8.39034126984127,6.206888888888886,2.894190476190476,6.83318253968254,1.6332222222222217
