C,Q,B,M,G,H,S,F,P,L
2.8866583536521,4.58694670891791,4.2222045188332835,9.48712259257951,3.458807055456286,3.2906706509338015,3.019172517261726,2.9294857796210065,7.817199551915567,0.45747666149357613
3.6508333333333325,5.6875,5.9443333333333355,12.137333333333336,6.3055,4.979666666666667,4.480333333333332,4.529333333333334,7.409333333333333,2.4251666666666667
2.611481686937746,3.8020700703666335,4.047033746698892,8.942653236890866,3.4930239547096313,3.4204064365996656,2.739969718032766,2.9550411689709906,7.878184047804789,0.24835080719041058
3.0221428571428572,4.8570714285714285,4.3594004329004346,11.707112554112552,2.8871114718614717,7.511669913419911,4.389448051948053,1.9807142857142859,8.01645238095238,1.299069264069264
2.501904272488001,4.5677488503966,4.673923718042775,10.221590939378324,4.228187128873051,3.8345763564497464,4.0865385082789665,4.156592687319747,6.683685522340925,1.3709024576852409
3.145799786299012,3.848210216340247,2.3885154665595847,9.244890360370626,2.9581281933151127,4.444059907670587,3.196091233156249,1.1085558621375182,7.114252674913665,0.2991664216846104
3.3856230020334888,4.034004510056108,3.424613104648974,12.868569721388779,3.9512165570576054,5.776875367639368,4.248245053814233,1.9278933839367982,6.595475599343822,1.8789760632447963
2.804408906912101,3.9446721346104763,2.9068990957983356,10.45312669305488,2.840403844291393,4.8399503087195885,2.976265049233881,1.8778815519967083,8.041142762751175,1.2538596660046655
3.296569609312256,3.895679684522562,3.837851181283458,9.952000181148401,3.549011323385937,4.97615875490179,2.7629657587854184,1.4642978143717318,5.670253353672473,1.6884384936099333
4.443062749342162,3.8138477788551324,2.7252400940562698,9.051147679118266,2.9841213843346206,4.611968457196398,2.56031845931846,1.6978585801453452,6.513769666607902,0.9045106486650603
3.274492063492063,7.2971468253968235,3.3839523809523797,8.989392857142857,3.019722222222222,2.4612261904761907,2.6411507936507945,3.501150793650794,5.459492063492065,1.6983571428571436
4.319793650793652,6.432015873015874,8.549988095238096,25.32013095238095,8.672507936507936,8.153396825396825,6.367988095238096,6.746607142857143,5.65281746031746,4.280599206349206
3.4776666666666665,1.8189999999999997,1.7466666666666668,13.031833333333333,3.8615,7.508666666666666,5.337166666666667,0.36766666666666664,8.936666666666666,1.765333333333333
2.6975714285714285,4.542285714285714,2.4066785714285714,13.955714285714288,4.201714285714286,4.494928571428571,2.77025,0.7789285714285715,4.2916428571428575,2.615357142857142
3.0302758166475234,3.4041973369056904,2.7428580313258544,8.697995193140638,2.7622756565852336,4.3918897567566875,2.6844909116485463,1.6371430467553034,6.859888086611457,0.42445541752216803
2.611481686937746,3.8020700703666335,4.047033746698892,8.942653236890866,3.4930239547096313,3.4204064365996656,2.739969718032766,2.9550411689709906,7.878184047804789,0.24835080719041058
3.075296433957448,4.100550039698231,2.9344139052428835,10.031188402813775,3.2923334204631103,4.85100629177861,3.987578704762069,1.8696305917179814,7.619057753795014,0.6144594101661853
2.2380555555555555,6.0362222222222215,4.098611111111111,7.463222222222223,2.6990000000000003,2.628388888888889,1.2061111111111111,2.9444999999999997,8.860166666666668,0.06316666666666665
3.2929911829226843,4.9972488976022245,5.118638073742564,12.8852308303152,5.241847695562091,7.85747969892165,5.472188908958259,2.57388908734884,6.32362826440845,2.539271649618012
5.289666666666667,6.798595238095238,7.167095238095238,17.16504761904762,9.978761904761905,4.756714285714287,5.789547619047619,6.014809523809523,5.839357142857142,4.090690476190477
2.5408800366300373,2.9167252747252745,2.8094917582417582,8.571114468864467,2.91968772893773,3.1241703296703296,3.411010073260073,0.7661978021978021,7.461315018315016,1.2953150183150184
5.019500000000001,6.633333333333333,8.867333333333333,17.776916666666665,7.949333333333333,12.061333333333337,7.009916666666666,3.5039999999999996,7.788333333333332,3.6615
3.53991847041847,6.242851370851371,5.01351443001443,13.572876984126983,5.412080808080807,7.877194444444444,4.730185064935064,2.00363455988456,7.279262265512265,2.1953506493506496
3.899679701834113,3.8670770157774803,3.401765951454806,10.299887101976108,3.8832369070987482,4.572091167303629,4.005505030272444,1.895967202345298,6.775086965665911,1.6621810700049864
2.7583839208965575,4.595861971111798,4.590336028828184,10.247643749602226,3.656105865755866,3.4040157352795095,3.2949788731865017,3.6863550747531373,7.357010406776108,1.2114421920188472
3.246860790740048,5.767794034998371,4.1043189052519535,11.81828192632101,4.267550860989714,8.158852050469312,5.038636661240376,2.9420318337493256,5.867093791485434,2.335851981266068
4.713207986457986,7.222945457320455,5.927649045399043,20.851220626595627,6.932685647685646,8.783166083916088,6.834868908868908,3.4342257048507063,8.118574064824067,3.1482751276501277
2.5321003907083632,4.7787856511393665,5.055089139317855,10.962785623432302,3.8788518617175747,3.67031885366096,3.5267282077657467,3.6581748719117138,7.565015125526348,1.2865589725462012
2.62,5.65,4.39,14.87,2.53,4.87,2.12,2.15,8.63,0.06
3.831232494813707,4.138267233578182,3.9073075418288807,13.721565206651757,4.925327209063577,5.5774215439280965,4.5677727090994305,2.748217276945023,6.980656292368662,1.6255010857907144
3.831232494813707,4.138267233578182,3.9073075418288807,13.721565206651757,4.925327209063577,5.5774215439280965,4.5677727090994305,2.748217276945023,6.980656292368662,1.6255010857907144
3.0675,5.9275,8.0825,19.5825,7.08,4.7075,4.6025,5.1075,7.5025,2.8425
3.068,5.360499999999999,3.0869999999999997,9.8855,1.8944999999999999,2.4795,2.1975,1.239,6.002999999999999,0.39399999999999996
4.002718253968255,6.498392857142857,8.07500396825397,17.450214285714285,8.09745634920635,6.009642857142859,5.805345238095238,6.070376984126984,5.374174603174603,3.6806865079365076
2.6262656232656245,3.344934918839331,2.3368007752051874,7.579132962625612,2.4744019811887457,4.561568229972641,2.0408666807049163,1.3297766343133992,7.804323567772098,1.0271610693228344
3.576137622424858,1.9988980458076195,3.028376324030579,8.812672300512721,3.1771418977004076,5.24306053698075,2.63961262319241,2.205004474839582,7.963643448159404,1.0360978324276198
