C,Q,B,M,G,H,S,F,P,L
2.106666666666667,4.13,3.6475000000000004,10.870000000000003,3.11,2.7025,1.6541666666666666,2.6691666666666674,7.085,0.6041666666666665
2.8312857142857144,6.189047619047619,6.877142857142856,11.400666666666668,5.086785714285714,3.9605952380952387,4.303333333333333,3.631166666666667,6.690880952380951,1.5719047619047621
2.819150793650794,3.1908964646464657,2.7295638528138535,9.040847763347763,3.010737373737373,3.21431277056277,1.698388888888889,2.8204538239538244,7.652056277056278,0.36447546897546884
5.371428571428571,5.545238095238095,4.107142857142858,10.487619047619045,3.459761904761905,5.71047619047619,4.333809523809524,2.324761904761905,6.741190476190476,1.2688095238095238
4.530309523809524,4.995952380952382,5.80095238095238,4.870785714285714,2.3211190476190477,2.220690476190476,4.402119047619047,3.606928571428572,7.351880952380952,1.8907380952380952
2.9463333333333326,3.7937380952380955,1.5940714285714284,11.6725,2.1310714285714285,4.940119047619048,1.0395476190476192,1.3015714285714284,5.77702380952381,0.16528571428571429
3.8313333333333333,5.319000000000001,2.448666666666667,9.873,3.6355,6.678166666666666,3.8825,2.0533333333333332,6.5395,1.138
3.648599053724053,4.510245421245421,2.431419719169719,9.804115231990233,3.00121916971917,6.686593711843712,2.4274464285714283,1.2879401709401708,5.915588675213677,0.3562930402930403
3.0091666666666663,2.9091666666666662,3.3416666666666672,10.984166666666665,2.684166666666667,3.015,3.9733333333333327,0.6091666666666666,9.621666666666666,0.48333333333333334
3.969752164502164,4.294953463203463,3.8440097402597404,8.512420995670995,1.919585497835498,4.0277792207792205,2.7990292207792216,1.8535378787878785,6.844142857142857,1.8301958874458877
2.3883333333333336,4.629166666666666,4.520833333333334,7.663333333333334,3.8791666666666664,3.411666666666666,4.214166666666667,3.456666666666666,7.8175,2.825
4.8575,8.8175,7.5,19.27,8.135,6.6375,6.16,5.5575,6.5575,4.12
3.197,3.6,3.7089999999999996,10.331,4.521,2.803,2.909,1.736,6.34,0.76
4.492730158730158,5.951190476190477,4.380071428571428,15.035865079365081,4.041230158730159,7.053999999999999,5.4209523809523805,2.5721190476190476,6.294571428571428,1.1203333333333334
3.0370588300588306,3.168005924630925,2.2089768703518704,8.929029734154735,2.584549894549894,5.050688117438117,2.7965547091797096,1.1827653318903315,7.074692529692528,1.2090955988455994
2.819150793650794,3.1908964646464657,2.7295638528138535,9.040847763347763,3.010737373737373,3.21431277056277,1.698388888888889,2.8204538239538244,7.652056277056278,0.36447546897546884
3.8793107725607725,3.095970279720279,3.6128292263292265,8.575155178155176,2.479999972249972,4.897397990897991,3.623452741702741,2.512622488622489,6.047669469419471,0.8215066600066602
2.845428571428572,4.989380952380952,5.702071428571429,10.78402380952381,4.534357142857143,4.301571428571428,4.023428571428571,3.8535000000000004,7.814523809523809,1.042
3.9225,5.885,4.81,10.2825,4.4875,4.5475,4.705,2.415,7.1225,0.62
5.175833333333332,8.924833333333332,8.896166666666666,22.86466666666667,8.194333333333335,7.9510000000000005,8.049833333333334,6.925833333333333,7.519500000000001,4.821833333333333
4.766666666666667,4.145714285714286,2.8447619047619046,11.872857142857143,5.48904761904762,6.92047619047619,5.723333333333333,2.23,8.244285714285715,1.0285714285714285
3.39,4.16,4.69,16.78,3.99,7.24,7.93,1.25,6.9,3.72
4.65,8.6,9.26,22.9,8.57,10.7,7.22,4.7,7.14,3.29
3.5556666666666668,4.52925,3.3943333333333334,10.386916666666666,4.499083333333333,6.148833333333333,2.796583333333333,1.565416666666667,6.670250000000001,0.8582500000000001
2.3584826839826842,5.116180874680874,4.379961510711511,9.236612054612053,4.237735708735708,4.381054501054501,3.236562298812301,3.714498307248307,6.344648545898545,2.3372337939837937
3.0735555555555556,6.061111111111111,6.926222222222221,13.276555555555555,4.055666666666666,5.749888888888888,4.945666666666667,3.4881111111111114,7.52311111111111,2.5580000000000003
5.55,6.01,7.44,19.97,8.8,11.2,8.98,4.42,6.3,4.04
2.706666666666667,3.87,3.2940000000000005,10.209,2.0076666666666667,2.248,3.7940000000000005,5.0633333333333335,10.467666666666668,0.4843333333333334
2.7575,3.5675,2.9075,7.1325,3.255,3.74,1.895,2.13,7.5075,0.39
3.443,6.1495,4.8995,10.703499999999998,3.373,5.0435,2.5795000000000003,1.839,8.394499999999999,0.4355
3.443,6.1495,4.8995,10.703499999999998,3.373,5.0435,2.5795000000000003,1.839,8.394499999999999,0.4355
2.75,7.615,6.975,17.07,7.5,4.16,5.765,5.555,7.82,3.15
3.559166666666666,3.896333333333333,3.2416666666666663,11.110166666666666,2.6788333333333334,3.183666666666667,3.417166666666667,1.253,7.200166666666668,1.3065
4.344166666666666,7.774166666666668,9.705833333333333,20.9225,7.828333333333332,8.36,8.058333333333332,6.074166666666668,8.619166666666667,4.88
1.8767500000000001,3.1009999999999995,2.72375,10.190249999999999,2.1929999999999996,3.3755000000000006,3.7259999999999995,4.07625,8.570749999999999,0.49
2.769300602175602,3.7847052253302254,2.8837650266400265,9.032160894660894,2.206518606393607,4.170761391386391,3.0045247113997107,1.2888309884559885,7.375746517371518,0.5480688616938617
2.8810000000000007,3.927825396825396,3.7370436507936504,10.238333333333335,3.461202380952381,3.640281746031746,4.42070634920635,3.6232460317460324,7.902984126984128,0.7042698412698414
2.2840000000000003,5.856,6.316,10.027999999999999,3.918,5.617999999999999,4.484,4.896,9.616,1.122
3.2534047619047626,5.993297619047618,6.777749999999998,14.936964285714287,5.7457619047619035,5.90722619047619,5.293511904761903,3.630107142857143,9.03382142857143,3.080630952380953
3.820499999999999,5.627166666666667,5.882500000000001,12.745166666666666,5.4025,4.152833333333334,5.0103333333333335,4.015833333333332,7.275333333333333,3.409333333333334
