C,Q,B,M,G,H,S,F,P,L
2.865666666666667,5.678999999999999,4.325666666666667,11.218,3.84,2.956666666666666,3.188,2.2576666666666667,6.565,0.5533333333333333
2.05,4.9,5.57,8.72,3.45,3.5,2.72,2.92,7.65,1.38
4.414440476190476,3.385904761904761,2.0569404761904764,11.829654761904763,3.254309523809523,4.026940476190475,2.7410357142857147,3.0053452380952383,8.491380952380954,0.0
4.923333333333333,5.53,4.48,10.95,2.3433333333333333,6.183333333333333,4.633333333333333,3.0,6.866666666666666,1.6933333333333331
1.6508333333333332,5.746333333333333,4.501666666666667,7.979333333333333,3.918333333333333,3.191333333333334,1.8405,3.482166666666667,5.928833333333333,1.1471666666666667
2.3677301587301587,4.00252380952381,4.077269841269842,11.099222222222222,2.164587301587302,6.193349206349207,4.389539682539683,2.8873174603174605,7.927730158730159,0.11
3.8151666666666664,4.509833333333333,2.1536666666666666,10.644500000000003,4.247666666666666,6.637166666666667,3.7653333333333325,2.3176666666666663,7.328499999999999,1.508333333333333
3.66497619047619,4.503619047619047,2.6305952380952387,10.424976190476194,3.003690476190476,6.800666666666667,2.583023809523809,1.2141904761904763,5.29447619047619,0.43626190476190474
4.345833333333333,5.091666666666666,4.305833333333334,11.025833333333333,4.468333333333333,5.464166666666666,3.5941666666666663,2.608333333333333,7.283333333333332,2.214166666666667
4.072809523809524,4.494238095238095,3.9760714285714287,7.543809523809523,1.995,4.041666666666667,2.6082142857142854,1.7710238095238098,6.423690476190476,1.6335238095238094
1.4266666666666665,5.18,4.419999999999999,7.889999999999999,4.203333333333333,3.5766666666666667,3.3733333333333335,3.816666666666667,6.873333333333334,1.8866666666666665
4.396190476190476,7.351428571428571,7.120238095238095,16.430476190476192,5.862619047619048,5.6814285714285715,5.89,5.106428571428571,4.756190476190476,4.335
2.4866666666666664,3.6966666666666668,5.008333333333333,12.15,7.423333333333334,4.675,4.706666666666667,2.9666666666666663,6.328333333333332,1.4466666666666668
3.62,6.24,5.355,14.47,4.78,8.52,6.14,3.825,9.05,1.165
2.7901547619047613,3.054678571428572,1.7757023809523813,8.498607142857141,1.487952380952381,3.189535714285715,3.486309523809524,1.0205238095238096,6.603011904761907,1.2097857142857145
4.414440476190476,3.385904761904761,2.0569404761904764,11.829654761904763,3.254309523809523,4.026940476190475,2.7410357142857147,3.0053452380952383,8.491380952380954,0.0
3.5114401154401147,2.7490829725829737,3.149004329004328,8.690303030303033,1.451195165945166,4.043281746031747,3.700343434343434,1.983036796536797,6.706718253968254,0.0
1.921,4.88,5.597,9.059,3.693,2.889,4.277,3.904,7.1770000000000005,1.315
3.873,5.555611111111111,4.621250000000001,11.654194444444444,4.491027777777777,5.935916666666667,4.858583333333334,2.6833888888888886,7.421944444444445,1.1409444444444445
4.61,7.87,8.32,18.89,7.39,7.76,8.28,6.25,7.76,4.47
3.634333333333333,2.9675,3.3394999999999997,10.232999999999999,3.7063333333333333,4.595833333333333,3.9368333333333334,1.7655,8.966166666666666,0.9083333333333333
3.484,6.584,6.112,18.206,4.342,7.978,4.794,1.994,6.35,2.2359999999999998
4.54,8.34,7.97,21.01,7.3,10.2,6.34,4.54,5.53,2.65
2.985,4.15,4.2,10.98,4.1925,5.335,3.2649999999999992,1.425,7.2375,1.105
2.5544905094905093,5.618083777333779,4.017547757797757,8.520667582417584,4.225814130314132,4.16685445110445,3.17382226107226,3.4086388056388057,6.961144355644356,1.665622599622599
2.89,5.78,4.99,13.78,4.78,7.6,4.46,2.91,7.67,2.41
5.3533333333333335,5.823333333333334,7.0166666666666675,22.30333333333333,6.393333333333333,8.986666666666666,6.766666666666667,3.17,6.886666666666667,3.743333333333333
